Topic,Label,Top Words,Word Count,Total Freq,Avg Sentiment
1,Emissions & Climate Science,"climate, energy, gas, emissions, change",47,21126,-0.335
2,Dairy Farming & Livestock Practices,"can, animals, vegan, meat, animal",112,28151,-0.188
5,"Mitigation, Technology & Sustainability","out, world, sustainable, don, time",50,19176,-0.180
