Stage,Description,Count,Removed,Removal Rate (%)
N0_initial,Initial dataset from extraction,3000,0,0.0
N1_deduplicated,Removed exact duplicate texts,2880,120,4.0
N2_language_filtered,Filtered to en language posts,2836,44,1.53
N3_length_filtered,Removed posts with <5 words,2721,115,4.06
N4_final_analytic,Final analytic dataset after all preprocessing,2721,0,0.0
