Stage,Description,Count,Removed,Removal Rate (%)
N0_initial,Initial dataset from extraction,3000,0,0.0
N1_deduplicated,Removed exact duplicate texts,2923,77,2.57
N2_language_filtered,Filtered to en language posts,2895,28,0.96
N3_length_filtered,Removed posts with <5 words,2861,34,1.17
N4_final_analytic,Final analytic dataset after all preprocessing,2861,0,0.0
