Stage,Description,Count,Removed,Removal Rate (%)
N0_initial,Initial dataset from extraction,3000,0,0.0
N1_deduplicated,Removed exact duplicate texts,2935,65,2.17
N2_language_filtered,Filtered to en language posts,2916,19,0.65
N3_length_filtered,Removed posts with <5 words,2901,15,0.51
N4_final_analytic,Final analytic dataset after all preprocessing,2901,0,0.0
