Stage,Description,Count,Removed,Removal Rate (%)
N0_initial,Initial dataset from extraction,3000,0,0.0
N1_deduplicated,Removed exact duplicate texts,2895,105,3.5
N2_language_filtered,Filtered to en language posts,2881,14,0.48
N3_length_filtered,Removed posts with <5 words,2878,3,0.1
N4_final_analytic,Final analytic dataset after all preprocessing,2878,0,0.0
