Stage,Description,Count,Removed,Removal Rate (%)
N0_initial,Initial dataset from extraction,3000,0,0.0
N1_deduplicated,Removed exact duplicate texts,2897,103,3.43
N2_language_filtered,Filtered to en language posts,2893,4,0.14
N3_length_filtered,Removed posts with <5 words,2888,5,0.17
N4_final_analytic,Final analytic dataset after all preprocessing,2888,0,0.0
